base_id;category;base_name;unit;price;dealer_price;weight_kg;qty_per_cycle;mold_id;gost_mark;article;mix_main_tpl;mix_face_tpl;item_type;amortization_per_cycle;new_name;new_price;new_dealer_price;new_article;default_warehouse_id
219;Плитка гладкая;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Оранжевая;кв.м;960.00;1485.00;90.280000;0.8000;8;ТУ 23.61.11-001-50829991-2023;PL-219;main_tile_40;face_smooth_orange;product;0.00;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Оранжевая 2 сорт;480.0;742.5;PL-2192S;5
213;Плитка гладкая;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Серая;кв.м;820.00;800.00;90.280000;0.8000;8;ТУ 23.61.11-001-50829991-2023;PL-213;main_tile_40;face_smooth_grey;product;0.00;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Серая 2 сорт;410.0;400.0;PL-2132S;5
238;Плитка гладкая;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гладкая Красная;кв.м;1100.00;1350.00;135.160000;0.8000;9;ТУ 23.61.11-001-50829991-2023;PL-238;main_tile_60;face_smooth_red;product;0.00;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гладкая Красная 2 сорт;550.0;675.0;PL-2382S;5
243;Плитка гладкая;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гладкая Оранжевая;кв.м;1110.00;1485.00;135.160000;0.8000;9;ТУ 23.61.11-001-50829991-2023;PL-243;main_tile_60;face_smooth_orange;product;0.00;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гладкая Оранжевая 2 сорт;555.0;742.5;PL-2432S;5
240;Плитка гладкая;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гладкая Черная;кв.м;1100.00;1350.00;135.160000;0.8000;9;ТУ 23.61.11-001-50829991-2023;PL-240;main_tile_60;face_smooth_black;product;0.00;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гладкая Черная 2 сорт;550.0;675.0;PL-2402S;5
265;Плитка гладкая;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Белая;кв.м;1010.00;1350.00;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023;PL-265;main_tile_40;face_smooth_white;product;0.00;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Белая 2 сорт;505.0;675.0;PL-2652S;5
262;Плитка гладкая;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Красная;кв.м;1010.00;1350.00;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023;PL-262;main_tile_40;face_smooth_red;product;0.00;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Красная 2 сорт;505.0;675.0;PL-2622S;5
267;Плитка гладкая;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Оранжевая;кв.м;1120.00;1440.00;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023;PL-267;main_tile_40;face_smooth_orange;product;0.00;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Оранжевая 2 сорт;560.0;720.0;PL-2672S;5
264;Плитка гладкая;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Черная;кв.м;1010.00;1350.00;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023;PL-264;main_tile_40;face_smooth_black;product;0.00;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гладкая Черная 2 сорт;505.0;675.0;PL-2642S;5
287;Плитка гладкая;Тротуарная плитка КЛАССИКО - 2.КО.6 60мм Гладкая Коричневая;кв.м;1140.00;1350.00;129.460000;0.7000;16;ТУ 23.61.11-001-50829991-2023;PL-287;main_tile_60;face_smooth_brown;product;0.00;Тротуарная плитка КЛАССИКО - 2.КО.6 60мм Гладкая Коричневая 2 сорт;570.0;675.0;PL-2872S;5
